Subconjunto,Numero,Nome,Sexo,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,ECTS_Inscritos1AnoNoAnoAnterior,ECTS_Feitos1AnoNoAnoAnterior,Sucesso1anoNoAnoAnterior,media,NIVELESCOL_PAI,NIVELESCOL_MAE,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,UC1_CodUC,UC1_Assiduidade,UC1_AvalParcial,UC2_CodUC,UC2_Assiduidade,UC2_AvalParcial,UC3_CodUC,UC3_Assiduidade,UC3_AvalParcial,UC4_CodUC,UC4_Assiduidade,UC4_AvalParcial,UC5_CodUC,UC5_Assiduidade,UC5_AvalParcial,UC6_CodUC,UC6_Assiduidade,UC6_AvalParcial,UC7_CodUC,UC7_Assiduidade,UC7_AvalParcial,UC8_CodUC,UC8_Assiduidade,UC8_AvalParcial
b3,1,A1,M,,PORTUGAL,Não,Sim,Não Prescrito,Mestrado Integrado,65,C65,FALSO,2016,ACTIVO,mudança de curso por cessação de ciclo de estudos e acreditação de novo ciclo,Trabalhador Estudante,2,18,30,6,0,,0,0,0,6º ano de escolaridade (antigo 2º ano ou ciclo preparatório),4º ano de escolaridade (antiga 4ª classe),10,0,,,,,,,,,,30,2,40784,0,,40790,100,,,,,,,,,,,,,,,,,,,
b3,2,A2,M,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,19,C19,FALSO,2006,ACTIVO,Adequação de curso referente ao processo de Bolonha,Ordinário,1,12,30,6,0,12,0,0,0,9º ano de escolaridade (antigo 5º ano),Sabe ler sem possuir o 4º ano de escolaridade (antiga 4ª classe),30,212,69,,,,,,,,,,20,1,42729,-1,,,,,,,,,,,,,,,,,,,,,,
b1,3,A3,M,,PORTUGAL,Não,Sim,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,mudança de curso por cessação de ciclo de estudos e acreditação de novo ciclo,Trabalhador Estudante,1,18,30,6,0,,0,0,11,24,9º ano de escolaridade (antigo 5º ano),Ensino pós-secundário - curso de especialização tecnológica,10,0,,,,,,,,,,30,2,40909,52,,41201,100,,,,,,,,,,,,,,,,,,,
b3,4,A4,F,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,52,C52,FALSO,2007,ACTIVO,Regime Geral,Trabalhador Estudante,2,30,30,12,0,12,0,0,11,95,4º ano de escolaridade (antiga 4ª classe),4º ano de escolaridade (antiga 4ª classe),30,126,61,,,,,,,,,,30,3,81106,100,,81125,7,14,,89096,0,,,,,,,,,,,,,,,,
b1,5,A5,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,73,C73,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Trabalhador Estudante,1,54,10,30,24,,0,0,15,33,Ensino superior - licenciatura,Ensino superior - bacharelato,10,0,,,,,,,,,,30,4,90192,15,79,,90272,100,,90273,100,,90274,100,,,,,,,,,,,,,
b3,6,A6,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,52,C52,FALSO,2016,ANULADO,Cand. Especiais - Titulares de Curso Médios e Superiores,Ordinário,1,6,30,6,0,60,24,40,15,Desconhecido,Desconhecido,10,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
b3,7,A7,M,,PORTUGAL,Não,Sim,Não Prescrito,Mestrado Integrado,49,C49,FALSO,2016,ACTIVO,Reingresso,Ordinário,2,30,10,18,12,6,0,0,11,23,Ensino superior - licenciatura,Ensino superior - licenciatura,10,0,,,,,,,,,,10,1,47107,100,,,,,,,,,,,,,,,,,,,,,,
b3,8,A8,F,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,21,C21,FALSO,2016,ANULADO,Cand. Especiais - Titulares de Curso Médios e Superiores,Trabalhador Estudante,1,16,30,16,0,30,0,0,10,88,4º ano de escolaridade (antiga 4ª classe),4º ano de escolaridade (antiga 4ª classe),10,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
b3,9,A9,M,,PORTUGAL,Não,Sim,Não Prescrito,Mestrado Integrado,18,C18,FALSO,2013,ACTIVO,Mudança de Curso,Trabalhador Estudante,2,30,30,16,0,14,0,0,12,71,9º ano de escolaridade (antigo 5º ano),4º ano de escolaridade (antiga 4ª classe),30,283,59,,,,,,,,,,20,2,40333,-1,,43257,-1,,,,,,,,,,,,,,,,,,,
b3,10,A10,M,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,41,C41,FALSO,2016,ACTIVO,Reingresso,Ordinário,2,30,10,18,12,18,6,33,3333,17,Ensino médio,Ensino médio,30,354,49,,,,,,,,,,30,2,42611,68,97,,44702,77,78,,,,,,,,,,,,,,,,,,,
b1,11,A11,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,FALSO,2017,ACTIVO,Reingresso,Ordinário,1,30,30,30,0,,0,0,10,9,6º ano de escolaridade (antigo 2º ano ou ciclo preparatório),9º ano de escolaridade (antigo 5º ano),30,147,72,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
b1,12,A12,F,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,24,C24,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Trabalhador Estudante,1,30,10,18,18,,0,0,15,38,4º ano de escolaridade (antiga 4ª classe),4º ano de escolaridade (antiga 4ª classe),10,0,,,,,,,,,,10,2,40985,100,,42447,100,,,,,,,,,,,,,,,,,,,
b1,13,A13,F,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,48,C48,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Trabalhador Estudante,1,24,10,8,8,,0,0,14,45,4º ano de escolaridade (antiga 4ª classe),4º ano de escolaridade (antiga 4ª classe),10,0,,,,,,,,,,30,3,41326,58,54,,41327,100,,41328,53,85,,,,,,,,,,,,,,,,
b1,14,A14,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Mudança de Curso,Ordinário,1,42,30,24,0,,0,0,13,25,6º ano de escolaridade (antigo 2º ano ou ciclo preparatório),9º ano de escolaridade (antigo 5º ano),10,0,,,,,,,,,,10,3,40308,96,3,,40335,100,,47035,81,48,,,,,,,,,,,,,,,,
b3,15,A15,M,,PORTUGAL,Não,Sim,Não Prescrito,Mestrado Integrado,32,C32,FALSO,2007,ACTIVO,Adequação de curso referente ao processo de Bolonha,Trabalhador Estudante,2,30,30,18,0,24,0,0,11,25,6º ano de escolaridade (antigo 2º ano ou ciclo preparatório),4º ano de escolaridade (antiga 4ª classe),30,226,87,,,,,,,,,,20,2,42729,-1,,46415,-1,,,,,,,,,,,,,,,,,,,
b1,16,A16,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,48,C48,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Trabalhador Estudante,1,60,30,30,4,,0,0,13,Ensino superior - licenciatura,Ensino superior - doutoramento,30,141,79,,,,,,,,,,20,6,40725,89,47,,40726,-2,,41215,67,86,,41326,70,,41327,64,29,,41328,53,85,,,,,,,
b3,17,A17,F,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,25,C25,FALSO,2014,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Trabalhador Estudante,1,12,30,6,0,6,0,0,14,5,4º ano de escolaridade (antiga 4ª classe),4º ano de escolaridade (antiga 4ª classe),10,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
b2,18,A18,M,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,11,C11,VERDADEIRO,2017,ACTIVO,CTeSP Titular de curso de especialização tecnológica / ensino superior,Trabalhador Estudante,2,54,10,24,24,,0,0,14,19,6º ano de escolaridade (antigo 2º ano ou ciclo preparatório),Ensino médio,10,0,,,,,,,,,,30,5,18006,73,33,,18137,80,,18138,46,67,,18139,66,67,,18144,86,67,,,,,,,,,,
b3,19,A19,F,,PORTUGAL,Não,Sim,Não Prescrito,Mestrado Integrado,32,C32,FALSO,2015,ACTIVO,Mudança de Curso,Trabalhador Estudante,2,30,30,18,0,36,0,0,10,98,9º ano de escolaridade (antigo 5º ano),Ensino secundário complementar ou equivalente (antigo 7º ano),10,0,,,,,,,,,,20,2,40909,18,52,,46415,-1,,,,,,,,,,,,,,,,,,,
b1,20,A20,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,55,C55,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Trabalhador Estudante,1,60,10,30,16,,0,0,12,63,Ensino secundário complementar ou equivalente (antigo 7º ano),Ensino médio,30,141,81,,,,,,,,,,20,5,81430,100,,81436,-2,,82133,34,48,,85111,11,11,,89124,3,7,,,,,,,,,,
b2,21,A21,M,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,3,C3,VERDADEIRO,2017,ACTIVO,CTeSP Titular de curso de especialização tecnológica / ensino superior,Trabalhador Estudante,1,48,10,18,18,,0,0,12,Ensino superior - bacharelato,Ensino secundário complementar ou equivalente (antigo 7º ano),30,80,,,,,,,,,,30,5,18050,96,88,,18051,62,07,,18052,93,33,,18053,73,33,,18054,94,12,,,,,,,,,,
b2,23,A23,F,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,10,C10,VERDADEIRO,2017,ACTIVO,CTeSP Titular de curso de ensino secundário,Ordinário,1,60,30,30,0,,0,0,0,6º ano de escolaridade (antigo 2º ano ou ciclo preparatório),6º ano de escolaridade (antigo 2º ano ou ciclo preparatório),30,600,,,,,,,,,,20,5,18001,0,,18128,-2,,18129,0,,18130,0,,18131,100,,,,,,,,,,
b1,24,A24,F,,PORTUGAL,Não,Não,,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ANULADO,Cand. Especiais - Titulares de Curso Médios e Superiores,Trabalhador Estudante,1,0,,0,0,,0,0,0,4º ano de escolaridade (antiga 4ª classe),6º ano de escolaridade (antigo 2º ano ou ciclo preparatório),10,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
b3,25,A25,F,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2016,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Trabalhador Estudante,2,27,30,10,0,12,0,0,13,35,6º ano de escolaridade (antigo 2º ano ou ciclo preparatório),4º ano de escolaridade (antiga 4ª classe),10,0,,,,,,,,,,30,2,90125,0,,90241,0,,,,,,,,,,,,,,,,,,,
b3,26,A26,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,71,C71,FALSO,2015,ACTIVO,Mudança de Curso,Ordinário,2,56,30,30,0,22,6,27,2727,11,59,Desconhecido,Ensino superior - licenciatura,10,0,,,,,,,,,,20,5,90211,-2,,90213,0,,90214,-1,,90216,0,,90218,100,,,,,,,,,,
b1,27,A27,M,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,24,C24,FALSO,2017,ACTIVO,Reingresso,Trabalhador Estudante,1,24,30,14,0,,0,0,0,Sabe ler sem possuir o 4º ano de escolaridade (antiga 4ª classe),4º ano de escolaridade (antiga 4ª classe),30,248,14,,,,,,,,,,10,1,42441,100,,,,,,,,,,,,,,,,,,,,,,
