Subconjunto,Numero,Nome,Sexo,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,ECTS_Inscritos1AnoNoAnoAnterior,ECTS_Feitos1AnoNoAnoAnterior,Sucesso1anoNoAnoAnterior,media,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,40436_AvalParcial,40436_TaxaAssid,40909_AvalParcial,40909_TaxaAssid,41201_AvalParcial,41201_TaxaAssid,41703_AvalParcial,41703_TaxaAssid,42729_AvalParcial,42729_TaxaAssid
b1,2457,A2457,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,54,,0,0,12.2,10,0,10,28/09/2017,Deferida,19/10/2017,1064,10,164.2,1,2,30,5,,100,,80,,100,,85.71,,77.78
b1,2458,A2458,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,48,,0,0,13.5,10,0,,,,,,10,164.2,1,1,30,5,,100,,80,,100,,78.57,,92.59
b1,2461,A2461,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,14.4,10,0,,,,,,10,165.6,1,1,10,5,,100,,100,,100,,92.86,,96.3
b1,2471,A2471,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,13.2,10,0,,,,,,10,172,1,3,10,5,,94.44,,92,,100,,85.71,,81.48
b1,2475,A2475,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,54,,0,0,12.6,10,0,10,25/09/2017,Deferida,13/10/2017,1064,10,164,1,1,10,5,,100,,84,,100,,92.86,,81.48
b1,2481,A2481,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,54,,0,0,15.6,10,0,,,,,,10,167.6,1,3,10,5,,100,,100,,100,,92.86,,92.59
b1,2482,A2482,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,42,,0,0,11.33,10,0,10,29/09/2017,Deferida,13/10/2017,1507,10,166.2,1,2,30,5,,100,,80,,100,,71.43,,74.07
b1,2490,A2490,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,12.4,10,0,,,,,,10,167,1,3,30,5,,94.12,,81.48,,100,,92.86,,77.78
b1,2503,A2503,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,48,,0,0,11.5,10,0,,,,,,10,152.8,1,4,10,5,,100,,92.59,,100,,92.86,,81.48
b1,2520,A2520,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,12.6,10,0,10,18/09/2017,Deferida,19/10/2017,1064,10,170.2,1,2,30,5,,100,,92.59,,100,,100,,77.78
b1,2522,A2522,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,13.4,10,0,30,24/09/2017,Indeferida,21/02/2018,,10,177.2,1,3,10,5,,88.24,,96.3,,100,,92.86,,81.48
b1,2529,A2529,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,30,30,24,,0,0,10.67,10,0,,,,,,10,174.6,1,3,30,5,,82.35,,81.48,,100,,85.71,,70.37
b1,2539,A2539,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,15,10,0,,,,,,10,169.6,1,3,10,5,,100,,96.3,,100,,92.86,,88.89
b1,2541,A2541,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,12.6,10,0,30,29/09/2017,Indeferida,13/10/2017,,10,169.6,1,2,10,5,,95.24,,92.31,,100,,92.86,,81.48
