Subconjunto,Numero,Nome,Sexo,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,ECTS_Inscritos1AnoNoAnoAnterior,ECTS_Feitos1AnoNoAnoAnterior,Sucesso1anoNoAnoAnterior,media,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,40436_AvalParcial,40436_TaxaAssid,40909_AvalParcial,40909_TaxaAssid,41201_AvalParcial,41201_TaxaAssid,41703_AvalParcial,41703_TaxaAssid,42729_AvalParcial,42729_TaxaAssid
b1,3,A3,M,,PORTUGAL,Sim,Sim,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,mudança de curso por cessação de ciclo de estudos e acreditação de novo ciclo,Trabalhador Estudante,1,18,30,6,0,,0,0,11.24,10,0,,,,,,,,,,20,2,,,,50,,-2,,,,
b1,11,A11,M,,PORTUGAL,Sim,Não,Não Prescrito,Mestrado Integrado,68,C68,FALSO,2017,ACTIVO,Reingresso,Ordinário,1,30,30,30,0,,0,0,10.9,30,147.7,,,,,,,,,,,0,,,,,,,,,,
b1,93,A93,M,,PORTUGAL,Sim,Sim,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,mudança de curso por cessação de ciclo de estudos e acreditação de novo ciclo,Trabalhador Estudante,1,30,30,12,0,,0,0,12,30,455.76,,,,,,,,,,20,3,,50,,27.27,,,,,,-1
b1,451,A451,F,,BRASIL,Sim,Não,,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Estudante Internacional,Ordinário,1,60,30,30,0,,0,0,0,30,1833.34,,,,,,,,,,20,4,,81.82,,80,,-2,,-2,,
b1,497,A497,F,,PORTUGAL,Sim,Sim,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,mudança de curso por cessação de ciclo de estudos e acreditação de novo ciclo,Trabalhador Estudante,1,30,10,12,12,,0,0,11.29,10,0,,,,,,,,,,30,3,,83.33,,60,,,,,,63.64
b1,725,A725,M,,CABO VERDE,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,mudança de curso por cessação de ciclo de estudos e acreditação de novo ciclo,Ordinário,1,60,30,30,6,,0,0,10,30,759.6,,,,,,,,,,20,5,,90.91,,54.55,,100,,-2,,36.36
b1,736,A736,M,,ANGOLA,Sim,Não,,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Estudante Internacional,Ordinário,1,60,30,30,0,,0,0,0,30,814.22,,,,,,,,,,20,5,,90.91,,70,,-2,,-2,,63.64
b1,780,A780,M,,BRASIL,Sim,Sim,,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Estudante Internacional,Ordinário,1,30,30,6,0,,0,0,0,10,0,,,,,,,,,,20,4,,100,,100,,-2,,-2,,
b1,1086,A1086,F,,PORTUGAL,Sim,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Trabalhador Estudante,1,60,10,30,30,,0,0,12,10,0,30,22/09/2017,Indeferida,06/11/2017,,,,,,20,5,,100,,100,,-2,,-2,,100
b1,1855,A1855,F,,PORTUGAL,Sim,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,14,10,0,,,,,,10,164.4,1,4,20,5,,100,,90,,-2,,-2,,81.82
